,IP,Traceroute
111,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
112,byu.edu,"[[97, 75, 190], [97, 75, 190], [69, 169, 182], [69, 169, 182], [128, 187, 16]]"
113,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
114,byu.edu,"[[97, 75, 190], [97, 75, 190], [69, 169, 182], [69, 169, 182], [128, 187, 16]]"
115,byu.edu,"[[208, 184, 5], [97, 75, 191], [97, 75, 190], [97, 75, 190], [128, 187, 16]]"
116,byu.edu,"[[97, 75, 191], [97, 75, 191], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
117,byu.edu,"[[97, 75, 191], [97, 75, 191], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
118,byu.edu,"[[97, 75, 191], [97, 75, 191], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
119,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
120,byu.edu,"[[97, 75, 191], [97, 75, 190], [69, 169, 182], [69, 169, 182], [128, 187, 16]]"
121,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
122,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 190], [128, 187, 16]]"
123,byu.edu,"[[208, 184, 5], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
124,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
125,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
126,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
127,byu.edu,"[[97, 75, 190], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
128,byu.edu,"[[97, 75, 191], [97, 75, 191], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
129,byu.edu,"[[97, 75, 190], [97, 75, 190], [69, 169, 182], [69, 169, 182], [128, 187, 16]]"
130,byu.edu,"[[208, 184, 5], [97, 75, 191], [97, 75, 190], [97, 75, 190], [128, 187, 16]]"
131,byu.edu,"[[97, 75, 191], [97, 75, 191], [97, 75, 190], [97, 75, 190], [128, 187, 16]]"
132,byu.edu,"[[208, 184, 5], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
133,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 190], [128, 187, 16]]"
134,byu.edu,"[[208, 184, 5], [97, 75, 190], [97, 75, 190], [97, 75, 190], [128, 187, 16]]"
135,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
136,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
137,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
138,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
139,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
140,byu.edu,"[[97, 75, 190], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
141,byu.edu,"[[97, 75, 191], [97, 75, 191], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
