,IP,Traceroute,TTL,Latency,Delay
57,byu.edu,"[[97, 75, 190], [76, 8, 208], [128, 187, 16]]",238.0,28.6,"[26.178, 32.955, 26.788, 28.46, 28.95]"
58,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.335, 26.138, 26.335, 26.798, 27.6]"
59,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,27.3,"[25.338, 25.915, 26.445, 26.839, 26.92]"
60,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,27.5,"[25.908, 26.512, 26.84, 27.17, 27.5]"
61,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",239.0,27.1,"[25.505, 26.438, 26.768, 27.056, 65.01]"
62,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.271, 25.908, 26.424, 26.795, 27.54]"
63,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.0,"[25.468, 28.382, 26.944, 26.685, 27.59]"
64,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[25.693, 26.466, 26.774, 27.048, 27.82]"
65,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.5,"[25.749, 26.418, 27.056, 27.23, 28.11]"
66,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[25.318, 27.01, 26.351, 26.633, 27.66]"
67,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.2,"[25.689, 26.127, 26.342, 26.686, 27.53]"
68,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[25.676, 26.041, 26.592, 27.079, 27.93]"
69,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[25.615, 26.281, 27.241, 26.938, 27.83]"
70,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[25.254, 25.945, 26.487, 26.682, 27.73]"
71,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[27.377, 26.211, 26.393, 26.748, 27.73]"
72,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.175, 25.992, 26.341, 26.874, 27.64]"
73,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.1,"[25.334, 26.035, 26.487, 26.666, 27.61]"
74,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[25.503, 26.15, 26.551, 27.081, 27.83]"
75,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[25.601, 26.481, 26.707, 26.931, 28.0]"
76,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.0,"[25.143, 26.545, 26.377, 26.751, 27.55]"
77,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.2,"[25.185, 25.932, 26.406, 26.73, 32.01]"
78,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.2,"[25.834, 26.665, 26.858, 27.421, 28.22]"
79,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[25.722, 26.54, 26.798, 27.467, 28.05]"
80,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.8,"[25.365, 26.222, 26.419, 27.071, 27.65]"
81,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.2,"[25.495, 37.189, 26.376, 26.986, 27.62]"
82,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.3,"[25.706, 26.579, 26.85, 27.224, 28.15]"
83,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.63, 26.309, 26.961, 27.293, 28.18]"
84,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.8,"[25.143, 25.874, 26.436, 26.689, 27.71]"
85,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,38.0,"[25.25, 26.024, 27.18, 26.846, 27.51]"
86,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.1,"[25.627, 26.858, 26.989, 27.386, 30.64]"
87,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.0,"[25.601, 26.538, 26.86, 27.086, 28.15]"
88,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.8,"[25.169, 26.095, 26.694, 26.728, 27.84]"
89,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.1,"[25.271, 26.15, 26.421, 26.719, 27.53]"
90,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[25.702, 26.177, 26.896, 27.229, 28.36]"
91,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.8,"[29.441, 26.62, 26.794, 26.863, 27.85]"
92,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[26.612, 26.469, 26.591, 26.601, 27.67]"
93,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.0,"[25.413, 25.925, 26.319, 26.775, 27.62]"
