,IP,Traceroute,TTL,Latency,Delay
77,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[14.364, 1.485, 44.246, 44.243, 118.663]"
78,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[2.7, 1.263, 44.267, 44.312, 119.165]"
79,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.03, 1.393, 44.132, 44.227, 119.307]"
80,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.134, 12.988, 44.221, 44.278, 119.32]"
81,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[2.91, 1.247, 44.223, 44.257, 118.448]"
82,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.937, 1.142, 44.133, 44.227, 118.185]"
83,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.03, 1.555, 44.125, 44.175, 118.802]"
84,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[12.714, 11.258, 44.176, 44.213, 118.004]"
85,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.289, 1.353, 44.309, 44.374, 119.375]"
86,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.748, 1.241, 44.199, 44.309, 118.607]"
87,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[1.08, 6.991, 44.295, 44.335, 118.422]"
88,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[0.933, 1.684, 65.297, 44.31, 118.587]"
89,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,117.0,"[1.148, 1.32, 44.274, 44.307, 118.204]"
90,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[10.863, 1.515, 44.102, 44.413, 118.55]"
91,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[1.313, 1.352, 49.461, 44.259, 119.276]"
92,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[3.577, 1.505, 44.371, 44.406, 119.232]"
93,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.913, 1.49, 44.231, 44.278, 118.476]"
94,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.95, 1.319, 44.205, 44.237, 119.649]"
95,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,122.0,"[1.055, 1.216, 44.171, 44.422, 117.985]"
96,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[4.779, 1.455, 44.302, 44.339, 118.569]"
97,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[0.952, 1.437, 44.326, 44.37, 119.415]"
98,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[3.612, 1.495, 44.274, 44.311, 118.496]"
