,IP,Traceroute,TTL,Latency,Delay
55,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.277, 1.274, 1.36, 20.316, 20.484]"
56,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.6,"[1.34, 1.437, 1.252, 21.308, 20.397]"
57,136.36.203.65,"[[4, 7, 18], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[0.779, 1.216, 1.298, 20.222, 20.249]"
58,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.184, 1.387, 1.272, 20.283, 20.185]"
59,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.1,"[1.28, 1.299, 1.371, 20.175, 20.21]"
60,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.541, 1.605, 1.415, 20.148, 20.511]"
61,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,21.2,"[1.413, 1.343, 1.27, 20.21, 20.289]"
62,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.166, 1.209, 1.322, 20.229, 20.172]"
63,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.6,"[1.475, 1.371, 1.285, 20.363, 20.11]"
64,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.7,"[1.255, 1.413, 1.248, 20.261, 20.233]"
65,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.603, 1.23, 4.59, 20.147, 20.218]"
66,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.297, 3.951, 1.289, 20.214, 20.497]"
67,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.374, 1.472, 20.556, 20.605, 20.598]"
68,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.7,"[1.491, 1.196, 10.443, 20.254, 20.248]"
69,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.248, 1.245, 1.323, 20.332, 20.423]"
70,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.306, 1.327, 1.453, 20.307, 20.214]"
71,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.33, 22.44, 1.292, 20.254, 20.248]"
72,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.73, 1.726, 1.721, 20.463, 20.646]"
73,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.414, 1.24, 1.32, 20.311, 20.353]"
74,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.5, 1.436, 1.299, 20.081, 20.227]"
75,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.6,"[1.647, 1.471, 1.336, 20.25, 20.243]"
76,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.369, 1.611, 1.221, 20.295, 20.239]"
77,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.6,"[1.569, 1.322, 1.296, 20.284, 20.41]"
78,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.565, 1.381, 1.476, 20.216, 20.21]"
79,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.207, 1.261, 3.374, 20.2, 20.14]"
80,136.36.203.65,"[[10, 88, 3], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[0.784, 1.491, 2.301, 20.258, 20.605]"
81,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.442, 1.364, 1.258, 20.205, 20.266]"
82,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.371, 5.607, 16.528, 20.215, 20.438]"
83,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.531, 1.192, 4.049, 20.185, 20.396]"
84,136.36.203.65,"[[4, 7, 18], [4, 68, 111], [64, 86, 160], [216, 6, 33], [136, 36, 203]]",56.0,20.4,"[7.524, 1.433, 3.314, 1.292, 20.19]"
85,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.332, 1.284, 4.021, 23.416, 20.141]"
86,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.2,"[1.306, 1.256, 2.48, 20.126, 20.152]"
87,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.345, 1.298, 1.193, 20.248, 20.082]"
88,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.161, 1.604, 2.179, 20.236, 20.224]"
89,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.468, 1.367, 3.872, 20.247, 20.313]"
90,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.19, 1.408, 1.303, 20.276, 20.493]"
91,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.235, 1.243, 6.903, 20.62, 20.11]"
92,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.6,"[1.399, 1.483, 1.258, 20.217, 20.604]"
93,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.352, 1.487, 1.274, 20.338, 20.334]"
94,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.48, 1.398, 1.617, 20.216, 20.601]"
95,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.283, 1.454, 1.37, 20.235, 20.309]"
96,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.292, 1.244, 4.116, 20.295, 20.517]"
97,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.46, 1.258, 1.291, 20.29, 20.152]"
98,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.582, 11.543, 1.658, 20.615, 20.292]"
99,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.542, 19.152, 2.097, 20.173, 20.393]"
100,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.277, 1.274, 1.195, 20.215, 20.263]"
101,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.264, 1.683, 1.582, 20.268, 20.261]"
102,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.243, 1.284, 1.237, 20.258, 20.32]"
103,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.352, 1.265, 1.37, 20.286, 20.942]"
104,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.26, 1.503, 1.289, 20.186, 20.259]"
105,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.8,"[1.25, 1.245, 1.446, 20.433, 20.427]"
106,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.265, 1.403, 2.935, 20.274, 20.229]"
107,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.195, 1.215, 1.304, 20.207, 20.453]"
108,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.473, 1.479, 1.281, 20.29, 20.284]"
